PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Grau - total,Sector privat,Iasi,1991,Kilograme,2135.0
Grau - total,din care: Exploatatii agricole individuale,Iasi,1991,Kilograme,2057.0
Grau - total,Sector privat,Alba,1991,Kilograme,1935.0
Grau - total,din care: Exploatatii agricole individuale,Alba,1991,Kilograme,1919.0
Grau - total,Sector privat,Olt,1991,Kilograme,3031.0
Grau - total,Sector privat,Mun. Bucuresti -incl. SAI,1991,Kilograme,1619.0
Grau - total,din care: Exploatatii agricole individuale,Tulcea,1991,Kilograme,1709.0
Grau - total,Sector privat,Vrancea,1991,Kilograme,1909.0
Grau - total,din care: Exploatatii agricole individuale,Teleorman,1991,Kilograme,3111.0
Grau - total,Sector privat,Neamt,1991,Kilograme,2077.0
Grau - total,din care: Exploatatii agricole individuale,Timis,1991,Kilograme,2072.0
Grau - total,Sector privat,Brasov,1991,Kilograme,2151.0
Grau - total,din care: Exploatatii agricole individuale,Neamt,1991,Kilograme,1867.0
Grau - total,din care: Exploatatii agricole individuale,Dambovita,1991,Kilograme,1509.0
Grau - total,din care: Exploatatii agricole individuale,Brasov,1991,Kilograme,2095.0
Grau - total,Sector privat,Timis,1991,Kilograme,2698.0
Grau - total,Sector privat,Dolj,1991,Kilograme,2736.0
Grau - total,Sector privat,Arges,1991,Kilograme,2302.0
Grau - total,Sector privat,Suceava,1991,Kilograme,1777.0
Grau - total,din care: Exploatatii agricole individuale,Calarasi,1991,Kilograme,3409.0
Grau - total,din care: Exploatatii agricole individuale,Vrancea,1991,Kilograme,1909.0
Grau - total,din care: Exploatatii agricole individuale,Covasna,1991,Kilograme,2279.0
Grau - total,Sector privat,Covasna,1991,Kilograme,2376.0
Grau - total,Sector privat,Bihor,1991,Kilograme,2753.0
Grau - total,Sector privat,Covasna,1992,Kilograme,2351.0
Grau - total,din care: Exploatatii agricole individuale,Calarasi,1992,Kilograme,2661.0
Grau - total,din care: Exploatatii agricole individuale,Covasna,1992,Kilograme,2326.0
Grau - total,Sector privat,Bihor,1992,Kilograme,1654.0
Grau - total,din care: Exploatatii agricole individuale,Constanta,1992,Kilograme,1444.0
Grau - total,Sector privat,Gorj,1992,Kilograme,1772.0
Grau - total,Sector privat,Calarasi,1992,Kilograme,2890.0
Grau - total,Sector privat,Vaslui,1992,Kilograme,1152.0
Grau - total,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1992,Kilograme,2638.0
Grau - total,din care: Exploatatii agricole individuale,Vaslui,1992,Kilograme,1138.0
Grau - total,Sector privat,Harghita,1992,Kilograme,1756.0
Grau - total,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1992,Kilograme,1614.0
Grau - total,din care: Exploatatii agricole individuale,Ialomita,1992,Kilograme,2444.0
Grau - total,din care: Exploatatii agricole individuale,Harghita,1992,Kilograme,1482.0
Grau - total,din care: Exploatatii agricole individuale,Mehedinti,1992,Kilograme,1321.0
Grau - total,Sector privat,Mehedinti,1992,Kilograme,1333.0
Grau - total,Sector privat,Bistrita-Nasaud,1992,Kilograme,1632.0
Grau - total,Sector privat,Dambovita,1992,Kilograme,2292.0
Grau - total,din care: Exploatatii agricole individuale,Arges,1992,Kilograme,1743.0
Grau - total,din care: Exploatatii agricole individuale,Olt,1992,Kilograme,2664.0
Grau - total,din care: Exploatatii agricole individuale,Vrancea,1992,Kilograme,1625.0
Grau - total,din care: Exploatatii agricole individuale,Iasi,1992,Kilograme,1870.0
Grau - total,din care: Exploatatii agricole individuale,Cluj,1992,Kilograme,1806.0
Grau - total,Sector privat,Braila,1992,Kilograme,2225.0
Grau - total,Sector privat,Olt,1992,Kilograme,2660.0
Grau - total,Sector privat,Mures,1992,Kilograme,2168.0
Grau - total,Sector privat,Giurgiu,1992,Kilograme,2515.0
Grau - total,Sector privat,Cluj,1992,Kilograme,1957.0
Grau - total,Sector privat,Buzau,1992,Kilograme,2293.0
Grau - total,din care: Exploatatii agricole individuale,Valcea,1992,Kilograme,2740.0
Grau - total,Sector privat,Sibiu,1992,Kilograme,2090.0
Grau - total,din care: Exploatatii agricole individuale,Maramures,1992,Kilograme,1672.0
Grau - total,din care: Exploatatii agricole individuale,Sibiu,1992,Kilograme,2031.0
Grau - total,Sector privat,Maramures,1992,Kilograme,1672.0
Grau - total,Sector privat,Valcea,1992,Kilograme,2738.0
Grau - total,din care: Exploatatii agricole individuale,Dolj,1992,Kilograme,1899.0
