PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Orz si orzoaica,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1993,Kilograme,1593.0
Orz si orzoaica,Sector privat,Dolj,1993,Kilograme,1404.0
Orz si orzoaica,Sector privat,Bistrita-Nasaud,1993,Kilograme,1654.0
Orz si orzoaica,Sector privat,Mehedinti,1993,Kilograme,1837.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Olt,1993,Kilograme,1600.0
Orz si orzoaica,Sector privat,Dambovita,1993,Kilograme,1595.0
Orz si orzoaica,Sector privat,Braila,1993,Kilograme,2147.0
Orz si orzoaica,Sector privat,Mures,1993,Kilograme,2198.0
Orz si orzoaica,Sector privat,Cluj,1993,Kilograme,1682.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Covasna,1993,Kilograme,2035.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Cluj,1993,Kilograme,1649.0
Orz si orzoaica,Sector privat,Olt,1993,Kilograme,1888.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Dolj,1993,Kilograme,1424.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Valcea,1993,Kilograme,6228.0
Orz si orzoaica,Sector privat,Giurgiu,1993,Kilograme,2715.0
Orz si orzoaica,Sector privat,Buzau,1993,Kilograme,1653.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mehedinti,1993,Kilograme,1999.0
Orz si orzoaica,Sector privat,Sibiu,1993,Kilograme,1636.0
Orz si orzoaica,Sector privat,Maramures,1993,Kilograme,1733.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Sibiu,1993,Kilograme,1673.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Tulcea,1993,Kilograme,2265.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Maramures,1993,Kilograme,1733.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Arges,1993,Kilograme,3857.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Arad,1993,Kilograme,2341.0
Orz si orzoaica,Sector privat,Valcea,1993,Kilograme,5654.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Buzau,1993,Kilograme,1649.0
Orz si orzoaica,Sector privat,Ialomita,1993,Kilograme,1715.0
Orz si orzoaica,Sector privat,Constanta,1993,Kilograme,2260.0
Orz si orzoaica,Sector privat,Bacau,1993,Kilograme,2316.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bacau,1993,Kilograme,2243.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Braila,1993,Kilograme,2230.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Caras-Severin,1993,Kilograme,1989.0
Orz si orzoaica,Sector privat,Satu Mare,1993,Kilograme,2450.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Satu Mare,1993,Kilograme,2351.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Teleorman,1993,Kilograme,2007.0
Orz si orzoaica,Sector privat,Arad,1993,Kilograme,2338.0
Orz si orzoaica,Sector privat,Prahova,1993,Kilograme,2262.0
Orz si orzoaica,Sector privat,Galati,1993,Kilograme,2098.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Vrancea,1993,Kilograme,2257.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Botosani,1993,Kilograme,1975.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Gorj,1993,Kilograme,3008.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Hunedoara,1993,Kilograme,1933.0
Orz si orzoaica,Sector privat,Vrancea,1993,Kilograme,2610.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Salaj,1993,Kilograme,1522.0
Orz si orzoaica,Sector privat,Caras-Severin,1993,Kilograme,1870.0
Orz si orzoaica,Sector privat,Salaj,1993,Kilograme,1581.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Calarasi,1993,Kilograme,2403.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Constanta,1993,Kilograme,2047.0
Orz si orzoaica,Sector privat,Teleorman,1993,Kilograme,2164.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Iasi,1993,Kilograme,2458.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Suceava,1993,Kilograme,1772.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Prahova,1993,Kilograme,2140.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Alba,1993,Kilograme,1938.0
Orz si orzoaica,Sector privat,Hunedoara,1993,Kilograme,1893.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Timis,1993,Kilograme,2343.0
Orz si orzoaica,Sector privat,Mun. Bucuresti -incl. SAI,1993,Kilograme,1528.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Giurgiu,1993,Kilograme,3001.0
Orz si orzoaica,Sector privat,Iasi,1993,Kilograme,2723.0
Orz si orzoaica,Sector privat,Alba,1993,Kilograme,1909.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Neamt,1993,Kilograme,2657.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Brasov,1993,Kilograme,2457.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Galati,1993,Kilograme,2244.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Brasov,1994,Kilograme,2439.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Salaj,1994,Kilograme,2328.0
Orz si orzoaica,Sector privat,Neamt,1994,Kilograme,2926.0
Orz si orzoaica,Sector privat,Brasov,1994,Kilograme,2429.0
Orz si orzoaica,Sector privat,Dolj,1994,Kilograme,3441.0
Orz si orzoaica,Sector privat,Arges,1994,Kilograme,2796.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Dambovita,1994,Kilograme,2427.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mures,1994,Kilograme,3074.0
Orz si orzoaica,Sector privat,Suceava,1994,Kilograme,2139.0
Orz si orzoaica,Sector privat,Tulcea,1994,Kilograme,499.0
Orz si orzoaica,Sector privat,Covasna,1994,Kilograme,2401.0
Orz si orzoaica,Sector privat,Bihor,1994,Kilograme,3395.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bihor,1994,Kilograme,3069.0
Orz si orzoaica,Sector privat,Gorj,1994,Kilograme,3178.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Ialomita,1994,Kilograme,1001.0
Orz si orzoaica,Sector privat,Calarasi,1994,Kilograme,1792.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Vaslui,1994,Kilograme,949.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1994,Kilograme,1876.0
