PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Floarea soarelui,din care: Exploatatii agricole individuale,Maramures,1992,Kilograme,970.0
Floarea soarelui,Sector privat,Valcea,1992,Kilograme,1070.0
Floarea soarelui,din care: Exploatatii agricole individuale,Caras-Severin,1992,Kilograme,649.0
Floarea soarelui,Sector privat,Ialomita,1992,Kilograme,1758.0
Floarea soarelui,din care: Exploatatii agricole individuale,Iasi,1992,Kilograme,819.0
Floarea soarelui,din care: Exploatatii agricole individuale,Gorj,1992,Kilograme,95.0
Floarea soarelui,Sector privat,Botosani,1992,Kilograme,1133.0
Floarea soarelui,din care: Exploatatii agricole individuale,Satu Mare,1992,Kilograme,863.0
Floarea soarelui,Sector privat,Arad,1992,Kilograme,1184.0
Floarea soarelui,Sector privat,Mun. Bucuresti -incl. SAI,1992,Kilograme,1258.0
Floarea soarelui,din care: Exploatatii agricole individuale,Hunedoara,1992,Kilograme,1069.0
Floarea soarelui,Sector privat,Galati,1992,Kilograme,1078.0
Floarea soarelui,din care: Exploatatii agricole individuale,Neamt,1992,Kilograme,1678.0
Floarea soarelui,Sector privat,Prahova,1992,Kilograme,1753.0
Floarea soarelui,Sector privat,Caras-Severin,1992,Kilograme,597.0
Floarea soarelui,din care: Exploatatii agricole individuale,Vrancea,1992,Kilograme,1035.0
Floarea soarelui,Sector privat,Iasi,1992,Kilograme,921.0
Floarea soarelui,Sector privat,Satu Mare,1992,Kilograme,1364.0
Floarea soarelui,din care: Exploatatii agricole individuale,Salaj,1992,Kilograme,1227.0
Floarea soarelui,Sector privat,Teleorman,1992,Kilograme,1214.0
Floarea soarelui,din care: Exploatatii agricole individuale,Timis,1992,Kilograme,1035.0
Floarea soarelui,Sector privat,Tulcea,1992,Kilograme,715.0
Floarea soarelui,din care: Exploatatii agricole individuale,Suceava,1992,Kilograme,642.0
Floarea soarelui,Sector privat,Hunedoara,1992,Kilograme,446.0
Floarea soarelui,Sector privat,Neamt,1992,Kilograme,874.0
Floarea soarelui,Sector privat,Salaj,1992,Kilograme,1073.0
Floarea soarelui,din care: Exploatatii agricole individuale,Teleorman,1992,Kilograme,967.0
Floarea soarelui,Sector privat,Calarasi,1992,Kilograme,1558.0
Floarea soarelui,din care: Exploatatii agricole individuale,Suceava,1993,Kilograme,1496.0
Floarea soarelui,Sector privat,Ialomita,1993,Kilograme,1471.0
Floarea soarelui,Sector privat,Salaj,1993,Kilograme,1225.0
Floarea soarelui,din care: Exploatatii agricole individuale,Teleorman,1993,Kilograme,481.0
Floarea soarelui,Sector privat,Mun. Bucuresti -incl. SAI,1993,Kilograme,1629.0
Floarea soarelui,Sector privat,Vrancea,1993,Kilograme,1660.0
Floarea soarelui,din care: Exploatatii agricole individuale,Alba,1993,Kilograme,1043.0
Floarea soarelui,din care: Exploatatii agricole individuale,Mehedinti,1993,Kilograme,245.0
Floarea soarelui,Sector privat,Timis,1993,Kilograme,1134.0
Floarea soarelui,din care: Exploatatii agricole individuale,Ialomita,1993,Kilograme,1432.0
Floarea soarelui,din care: Exploatatii agricole individuale,Dolj,1993,Kilograme,300.0
Floarea soarelui,Sector privat,Suceava,1993,Kilograme,1539.0
Floarea soarelui,Sector privat,Dolj,1993,Kilograme,339.0
Floarea soarelui,Sector privat,Alba,1993,Kilograme,1081.0
Floarea soarelui,Sector privat,Arges,1993,Kilograme,972.0
Floarea soarelui,din care: Exploatatii agricole individuale,Harghita,1993,Kilograme,915.0
Floarea soarelui,din care: Exploatatii agricole individuale,Constanta,1993,Kilograme,1166.0
Floarea soarelui,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1993,Kilograme,1994.0
Floarea soarelui,din care: Exploatatii agricole individuale,Buzau,1993,Kilograme,1621.0
Floarea soarelui,Sector privat,Vaslui,1993,Kilograme,1132.0
Floarea soarelui,Sector privat,Neamt,1993,Kilograme,1259.0
Floarea soarelui,Sector privat,Harghita,1993,Kilograme,917.0
Floarea soarelui,din care: Exploatatii agricole individuale,Bihor,1993,Kilograme,1116.0
Floarea soarelui,Sector privat,Gorj,1993,Kilograme,960.0
Floarea soarelui,Sector privat,Calarasi,1993,Kilograme,1407.0
Floarea soarelui,din care: Exploatatii agricole individuale,Tulcea,1993,Kilograme,1045.0
Floarea soarelui,din care: Exploatatii agricole individuale,Mures,1993,Kilograme,1334.0
Floarea soarelui,din care: Exploatatii agricole individuale,Galati,1993,Kilograme,1351.0
Floarea soarelui,din care: Exploatatii agricole individuale,Vrancea,1993,Kilograme,1718.0
Floarea soarelui,Sector privat,Braila,1993,Kilograme,1486.0
Floarea soarelui,din care: Exploatatii agricole individuale,Vaslui,1993,Kilograme,1165.0
Floarea soarelui,din care: Exploatatii agricole individuale,Sibiu,1993,Kilograme,800.0
Floarea soarelui,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1993,Kilograme,987.0
Floarea soarelui,Sector privat,Mehedinti,1993,Kilograme,392.0
Floarea soarelui,Sector privat,Dambovita,1993,Kilograme,1053.0
Floarea soarelui,Sector privat,Mures,1993,Kilograme,1346.0
Floarea soarelui,Sector privat,Bihor,1993,Kilograme,1186.0
Floarea soarelui,Sector privat,Sibiu,1993,Kilograme,903.0
Floarea soarelui,din care: Exploatatii agricole individuale,Valcea,1993,Kilograme,1222.0
Floarea soarelui,din care: Exploatatii agricole individuale,Dambovita,1993,Kilograme,1164.0
Floarea soarelui,Sector privat,Buzau,1993,Kilograme,1615.0
Floarea soarelui,din care: Exploatatii agricole individuale,Bacau,1993,Kilograme,1403.0
Floarea soarelui,Sector privat,Bistrita-Nasaud,1993,Kilograme,994.0
Floarea soarelui,din care: Exploatatii agricole individuale,Cluj,1993,Kilograme,1203.0
Floarea soarelui,din care: Exploatatii agricole individuale,Arges,1993,Kilograme,831.0
Floarea soarelui,din care: Exploatatii agricole individuale,Arad,1993,Kilograme,1063.0
Floarea soarelui,Sector privat,Olt,1993,Kilograme,712.0
Floarea soarelui,Sector privat,Giurgiu,1993,Kilograme,1008.0
Floarea soarelui,din care: Exploatatii agricole individuale,Giurgiu,1993,Kilograme,1141.0
Floarea soarelui,din care: Exploatatii agricole individuale,Olt,1993,Kilograme,757.0
Floarea soarelui,Sector privat,Cluj,1993,Kilograme,1238.0
Floarea soarelui,din care: Exploatatii agricole individuale,Botosani,1993,Kilograme,1352.0
Floarea soarelui,din care: Exploatatii agricole individuale,Prahova,1993,Kilograme,2034.0
Floarea soarelui,din care: Exploatatii agricole individuale,Caras-Severin,1993,Kilograme,963.0
Floarea soarelui,din care: Exploatatii agricole individuale,Calarasi,1993,Kilograme,1439.0
Floarea soarelui,Sector privat,Constanta,1993,Kilograme,1187.0
Floarea soarelui,Sector privat,Bacau,1993,Kilograme,1363.0
Floarea soarelui,din care: Exploatatii agricole individuale,Maramures,1993,Kilograme,1161.0
Floarea soarelui,Sector privat,Valcea,1993,Kilograme,1053.0
Floarea soarelui,Sector privat,Hunedoara,1993,Kilograme,904.0
Floarea soarelui,din care: Exploatatii agricole individuale,Gorj,1993,Kilograme,960.0
Floarea soarelui,din care: Exploatatii agricole individuale,Iasi,1993,Kilograme,1303.0
Floarea soarelui,Sector privat,Botosani,1993,Kilograme,1344.0
Floarea soarelui,din care: Exploatatii agricole individuale,Hunedoara,1993,Kilograme,907.0
Floarea soarelui,Sector privat,Maramures,1993,Kilograme,1161.0
Floarea soarelui,din care: Exploatatii agricole individuale,Satu Mare,1993,Kilograme,1319.0
Floarea soarelui,Sector privat,Arad,1993,Kilograme,1195.0
Floarea soarelui,Sector privat,Galati,1993,Kilograme,1299.0
